season	episode	title	arc_name	quote	desc	url	stream
2	5	Landing at Point Rain	Return to Geonosis	Believe in yourself or no one else will.	Anakin, Obi-wan, and Ki-Adi-Mundi lead an invasion to stop Poggle the Lesser and the Geonosians from rebuilding their droid army. Things go terribly awry when Geonosian forces shoot down the Republic ships, which crash off-course. Under mounting pressure to accomplish their mission, Anakin, Obi-Wan, and Ki-Adi-Mundi each have their own set of challenges to overcome -- hordes of enemy troops, deadly traps, unforgiving terrain, and a massive energy shield.	https://www.starwars.com/tv-shows/clone-wars/landing-at-point-rain-episode-guide	https://www.disneyplus.com/video/6ba55d34-2db4-4f82-b219-fc82500ca89a?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep05_BuyWatchCTA-NA
2	6	Weapons Factory	Return to Geonosis	No gift is more precious than trust.	Anakin, Ahsoka, Luminara Unduli and her Padawan, Barriss Offee, lead a mission to destroy a droid factory on Geonosis. But Poggle the Lesser has other plans as he deploys his newest weapon, the indestructible super tanks. Desperate to accomplish their mission before the foundry comes online, the Jedi devise a daring plan in which Anakin and Luminara will act as decoys, diverting the super tanks, while Ahsoka and Barriss infiltrate the plant via a labyrinth of catacombs beneath the city. The plan is risky. The stakes are high. It's their only option, but are the Padawans up to the challenge?	https://www.starwars.com/tv-shows/clone-wars/weapons-factory-episode-guide	https://www.disneyplus.com/video/a4fc767f-a20d-4fb6-b8ce-5e9b6ec80dac?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep06_BuyWatchCTA-NA
2	17	Bounty Hunters	Bounty Hunters vs. Pirates	Courage makes heroes, but trust builds friendship.	Anakin, Obi-Wan, and Ahsoka crash on Felucia and seek aid from the local spice farmers only to learn that the farmers are the ones who are in real need. Beset by Hondo Ohnaka and his band of pirates who plan to steal their crop, the farmers have contracted four deadly bounty hunters to protect their wares. In an unlikely partnership, the Jedi must work with the farmers' hired guns to beat back Hondo and his brigands.	https://www.starwars.com/tv-shows/clone-wars/bounty-hunters-episode-guide	https://www.disneyplus.com/video/2bfad4dd-0bf4-4c76-a7ce-7e34df37618a?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep17_BuyWatchCTA-NA
2	1	Holocron Heist	Cad Bane	A lesson learned is a lesson earned.	Cad Bane has been hired by Darth Sidious to steal a Jedi holocron. The holocrons -- data storage systems that can only be opened through the Force -- are protected within a vault inside the Jedi Temple. Recruiting a changeling posing as a Jedi in his plot, Bane infiltrates the building's security systems and leads Anakin, Obi-Wan and Ahsoka on a chase.	https://www.starwars.com/tv-shows/clone-wars/holocron-heist-episode-guide	https://www.disneyplus.com/video/0eb555a3-9420-4364-aef2-7186f5e4fb4e?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep01_BuyWatchCTA-NA
2	2	Cargo of Doom	Cad Bane	Overconfidence is the most dangerous form of carelessness.	Anakin and Ahsoka travel to the planet Devaron in pursuit of Cad Bane, who has stolen a Jedi holocron. Bane has captured Jedi Master Bolla Ropal, keeper of the Kyber crystal, which will reveal data on every known Force-sensitive child in the galaxy when combined with the holocron. Failing to force Ropal to open the holocron, Bane needs another Jedi. Capturing Ahsoka, the bounty hunter forces Anakin to open the holocron to save his Padawan. The holocron's secrets revealed, Bane attempts an escape, but appears to be killed by a clone. Anakin, however, still senses Bane's presence in the Force...	https://www.starwars.com/tv-shows/clone-wars/cargo-of-doom-episode-guide	https://www.disneyplus.com/video/865525da-5daa-4188-9bca-8abd942909fd?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep02_BuyWatchCTA-NA
2	3	Children of the Force	Cad Bane	The first step to correcting a mistake is patience.	Cad Bane has stolen a Jedi holocron which holds the secret locations of the galaxy's Force-sensitive children. Bane is tasked by Darth Sidious to kidnap several of the children to train as Sith spies. On one such kidnapping attempt, Bane is captured by Anakin and Ahsoka and brought before Obi-Wan and Mace Windu to have his mind probed. Unable to resist the combined Force powers of the Jedi, Bane agrees to lead Kenobi and Windu to his hidden base while Anakin and Ahsoka venture to Mustafar to save the stolen children from Darth Sidious' evil plot.	https://www.starwars.com/tv-shows/clone-wars/children-of-the-force-episode-guide	https://www.disneyplus.com/video/2b77cbb2-045c-456d-a551-be454175ca28?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep03_BuyWatchCTA-NA
2	9	Grievous Intrigue	Pursuit of Grievous	For everything you gain, you lose something else.	Jedi Master Eeth Koth is taken hostage and tortured by General Grievous. Anakin Skywalker, Obi-Wan Kenobi and Adi Gallia devise a daring rescue plan, but they soon realize the General has a plan of his own. The Jedi Knights and the Separatist general try to outmaneuver each other in a ship-to-ship and hand-to-hand battle high over the planet Saleucami.	https://www.starwars.com/tv-shows/clone-wars/grievous-intrigue-episode-guide	https://www.disneyplus.com/video/83357ef1-f768-4f3b-8b03-2f0c2e4617e7?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep09_BuyWatchCTA-NA
2	10	The Deserter	Pursuit of Grievous	It is the quest for honor that makes one honorable.	General Grievous is shot down over Saleucami and crash lands in the wilderness. Obi-Wan leads an expedition to find the droid general.   Rex is injured during the search, and must recover in a local farmer's barn, but he is shocked to discover the farmer is a clone deserter.	https://www.starwars.com/series/clone-wars/the-deserter-episode-guide	https://www.disneyplus.com/video/09f9af96-40bd-4e9a-a18d-92fb9f373298?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep10_BuyWatchCTA-NA
2	12	The Mandalore Plot	Duchess of Mandalore	If you ignore the past, you jeopardize your future.	Alarming rumors about the peace-abiding Duchess Satine of Mandalore prompt Obi-Wan to investigate the secluded planet. Satine wants to keep Mandalore neutral in the Clone Wars, but the actions of a violent splinter group -- Death Watch -- threaten to push the planet towards war.	https://www.starwars.com/tv-shows/clone-wars/the-mandalore-plot-episode-guide	https://www.disneyplus.com/video/91d2a7e2-8eb1-411d-941e-4bd8babe4e55?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep12_BuyWatchCTA-NA
2	13	Voyage of Temptation	Duchess of Mandalore	Fear not for the future, weep not for the past.	Duchess Satine travels from Mandalore to Coruscant on a diplomatic mission, with Obi-Wan Kenobi, Anakin Skywalker and a team of troopers to defend her. As her luxurious starship, Coronet, makes its way through hyperspace, the Jedi must stop several assassination attempts, and Anakin discovers that Obi-Wan and the Duchess have a history together.	https://www.starwars.com/tv-shows/clone-wars/voyage-of-temptation-episode-guide	https://www.disneyplus.com/video/9d2c4240-5a2e-4f2a-ab88-628a5dc68540?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep13_BuyWatchCTA-NA
2	14	Duchess of Mandalore	Duchess of Mandalore	In war, truth is the first casualty.	On Coruscant, word reaches Duchess Satine that Death Watch is mobilizing, sparking a pre-emptive Republic invasion. On the run from Republic authorities, Satine and Obi-Wan set off to discover the group's true motives.	https://www.starwars.com/tv-shows/clone-wars/duchess-of-mandalore-episode-guide	https://www.disneyplus.com/video/9aedb852-9abb-4c59-95c3-58f1bfb0cef6?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep14_BuyWatchCTA-NA
2	20	Death Trap	Boba Fett's Revenge	Who my father was matters less than my memory of him.	Determined to kill Jedi Master Mace Windu, young Boba Fett poses as a clone cadet and sneaks aboard a Jedi cruiser to plant a bomb in Windu's quarters. But Boba's plan goes awry when the blast fails to kill Mace and, suddenly, every clone aboard is looking for the saboteur. Boba destroys the ship's reactor to create a distraction and, soon, the entire cruiser begins to break apart. Unaware that Boba is the culprit, Boba's new cadet comrades save his life but is he too obsessed with revenge to do the same for them?	https://www.starwars.com/series/clone-wars/death-trap-episode-guide	https://www.disneyplus.com/video/c60abd64-34bd-4141-ab53-3a265a929a7b?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep20_BuyWatchCTA-NA
2	21	R2 Come Home	Boba Fett's Revenge	Adversity is friendship's truest test.	Boba Fett and his band of bounty hunters lead Anakin and Mace into a deadly trap on Vanqor. It's up to R2-D2 to journey back to Coruscant and warn the Jedi of their brethrens' peril. Battling beast and bounty hunter along the way, the trusty droid finally communicates his warning to Ahsoka and Plo Koon, who rush to Vanqor to save Mace and Anakin from a fiery death.	https://www.starwars.com/tv-shows/clone-wars/r2-come-home-episode-guide	https://www.disneyplus.com/video/28034e35-c413-4219-8072-444cef55bd64?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep21_BuyWatchCTA-NA
2	22	Lethal Trackdown	Boba Fett's Revenge	Insignificant problems, left unchecked, often become significant problems.	Following a nefarious attempt to murder Anakin Skywalker and Mace Windu on Vanqor, Boba Fett and Aurra Sing go into hiding. Jedi Master Plo Koon and Ahsoka Tano set out to capture the bounty hunters. While combing through the lower depths of the Coruscant underworld, Plo and Ahsoka finally learn that Fett and his group are hiding out on Florrum. In a dramatic showdown, Fett is abandoned by Aurra Sing, leaving young Boba angry and bitter in Republic custody.	https://www.starwars.com/tv-shows/clone-wars/lethal-trackdown-episode-guide	https://www.disneyplus.com/video/eccba821-6a8a-4007-8ea2-1995ffe5637d?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep22_BuyWatchCTA-NA
2	11	Lightsaber Lost	Ahsoka's Adventures	Easy isn't always simple.	During an assignment in the Coruscant underworld, a wily pickpocket steals Ahsoka's lightsaber. Ahsoka enlists the help of an ancient Jedi, Tera Sinube, to track down her weapon and reclaim her honor.	https://www.starwars.com/series/clone-wars/lightsaber-lost-episode-guide	https://www.disneyplus.com/video/07c0124a-5234-4c58-a2f0-79508e3b14b6?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S02Ep11_BuyWatchCTA-NA
3	6	The Academy	Ahsoka's Adventures	Those who enforce the law must obey the law.	Ahsoka is assigned to teach a class at a leadership academy on Mandalore. Soon after she arrives, Duchess Satine's zealous nephew -- Korkie -- and his classmates uncover a nefarious plot. Prime Minister Almec is revealed to be an active part of the black market conspiracy on Mandalore, and he attempts to permanently silence Duchess Satine and the cadets before they expose his corruption. Ahsoka and the cadets defeat Almec before he can succeed.	https://www.starwars.com/tv-shows/clone-wars/the-academy-episode-guide	https://www.disneyplus.com/video/f464497e-a4e5-44db-922e-d44d1a70fd73?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep06_BuyWatchCTA-NA
3	7	Assassin	Ahsoka's Adventures	The future has many paths -- choose wisely.	Tasked to protect Senator Padmé Amidala during a political mission to Alderaan, Padawan Ahsoka Tano is plagued by recurring visions of recently-deceased bounty hunter, Aurra Sing. Unable to clear her mind, Ahsoka worries that the stress of conflict is finally getting to her until her visions indeed prove prophetic. Padmé narrowly avoids death when Aurra Sing attempts to assassinate her. Together, Padmé and Ahsoka trap the hunter, and Ahsoka discovers the true villain behind the plot to kill Padmé: the incarcerated gangster, Ziro the Hutt.	https://www.starwars.com/tv-shows/clone-wars/assassin-episode-guide	https://www.disneyplus.com/video/652f203c-8b9a-4b3f-981a-59915aa99cfb?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep07_BuyWatchCTA-NA
3	1	Clone Cadets	Clone Troopers	Brothers in arms are brothers for life.	"Five headstrong clones struggle to complete their training on Kamino. These cadets -- Hevy, Cutup, Droidbait, Fives and Echo -- seem to be a ""bad batch"" and are unable to work as a team. As Shaak Ti and drill instructors Bric and El-Les debate the cadets' fate, the clones learn to work together and accept their destiny as soldiers."	https://www.starwars.com/tv-shows/clone-wars/clone-cadets-episode-guide	https://www.disneyplus.com/video/7851718f-2530-47e2-bf32-a8b498b3efa9?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep01_BuyWatchCTA-NA
1	5	Rookies	Clone Troopers	The best confidence builder is experience.	Alone on a distant outpost, clone officers Rex and Cody must inspire their rookie unit to believe in themselves to stave off a droid commando invasion.	https://www.starwars.com/tv-shows/clone-wars/rookies-episode-guide	https://www.disneyplus.com/video/598d1e7b-f39e-4527-9487-b5e891f5eefa?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S01Ep05_BuyWatchCTA-NA
3	2	ARC Troopers	Clone Troopers	Fighting a war tests a soldier's skills, defending his home tests a soldier's heart.	The Republic learns of an impending Separatist attack on Kamino, and Anakin and Obi-Wan hurry to the planet. After the Republic repulses the Separatists' diversionary assault, the real attack begins. Asajj Ventress, General Grievous and an army of droids rise out of the oceans, bent on destroying Kamino's clone production facilities. Rex, Cody, Fives and Echo lead the clones in a desperate defense of their home planet.	https://www.starwars.com/tv-shows/clone-wars/arc-troopers-episode-guide	https://www.disneyplus.com/video/6e2c8c2f-a7ce-49d5-ad90-88f4a97eb303?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep02_BuyWatchCTA-NA
3	10	Heroes on Both Sides	Aggressive Negotiations	Fear is a great motivator.	When the Senate begins debating a bill that would eliminate government oversight of the Banking Clan's activities in order to fund the war, Padmé and Ahsoka travel in secret to the capital of the Confederacy of Independent Systems. Amidala attempts to forge a peace agreement with the Separatists, while Ahsoka sees, for the first time, the people of the Confederacy. Padmé's friend, Mina Bonteri, spearheads the peace initiative, and convinces the Separatist Congress to sue for peace.     Meanwhile, on Coruscant, Senators Lott Dod and Gume Saam conspire with Banking Clan representative Nix Card and Count Dooku to make the banking deregulation a reality. At Dooku's command, General Grievous engineers an attack at the central power distribution grid on Coruscant, carried out by Separatist demolition droids. The chaos and panic spreads to the Senate, which vehemently rejects the Separatist peace initiative.	https://www.starwars.com/tv-shows/clone-wars/heroes-on-both-sides-episode-guide	https://www.disneyplus.com/video/1e012171-5147-461e-b42c-80ee6bed9c29?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep10_BuyWatchCTA-NA
3	11	Pursuit of Peace	Aggressive Negotiations	Truth can strike down the spectre of fear.	Padmé, Bail Organa and Onaconda Farr attempt to rally Senators in opposition to a bill that would appropriate funds for millions of new clone troops and have disastrous financial consequences for the Republic. Their opposition to the measure, however, soon makes them targets for intimidation and attacks by hired guns. After escaping two hired thugs -- Chata Hyoki and Robonino -- in a harrowing speeder bike chase, Padmé is able to sway the Senate with a stirring account of how the war has affected an everyday civilian, her handmaiden Teckla Minnau.	https://www.starwars.com/tv-shows/clone-wars/pursuit-of-peace-episode-guide	https://www.disneyplus.com/play/aba036ca-1e5c-4134-97bc-9eba37edf88b
4	14	A Friend in Need	Aggressive Negotiations	Friendship shows us who we really are.	A peace conference between Separatists and Republic delegates is interrupted by Lux Bonteri, the son of a late Separatist Senator, who involves Ahsoka in his dangerous search to find justice for his mother's death.	https://www.starwars.com/series/clone-wars/-episode-guidea-friend-in-need	https://www.disneyplus.com/video/916bff39-2aae-47db-b43a-e22f4179d093?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S04Ep14_BuyWatchCTA-NA
3	15	Overlords	Secrets of Mortis	Balance is found in the one who faces his guilt.	A mysterious force draws Anakin, Obi-Wan and Ahsoka to a distant planet, and its inhabitants -- a family of exceptionally powerful Force-wielders -- in an attempt to determine whether Anakin is truly the Chosen One. The patriarch of this family, known only as the Father, has spent ages maintaining the balance between his Daughter, who is strong with the light side of the Force, and his Son, who aligns with the dark. The Father reveals his days are numbered, and he seeks Anakin to take his place as the fulcrum of this balance. A series of tests proves that Anakin is capable of controlling both offspring, as the Father does, but Skywalker refuses to take the Father's place.	https://www.starwars.com/tv-shows/clone-wars/overlords-episode-guide	https://www.disneyplus.com/video/48c78dd1-73f6-40ef-9e0d-d469ea00ada8?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep15_BuyWatchCTA-NA
3	16	Altar of Mortis	Secrets of Mortis	He who surrenders hope, surrenders life.	Before the Jedi can leave Mortis, the Son takes Ahsoka captive in an attempt to entice Anakin into joining him to use their combined strength to overpower his Father and Sister. To this end, the Son casts Ahsoka under the spell of the dark side.     Meanwhile, the Father attempts to stave off a disastrous showdown between his children and maintain the Force's increasingly precarious balance on the planet. Fearing that the Son may be unstoppable, the Daughter does the forbidden by taking Obi-Wan Kenobi to the Altar of Mortis, wherein is kept the Dagger of Mortis, a weapon capable of killing a Force-wielder. The Son steals the weapon, and attempts to use it against his Father to steal his power and end his rule, but the Daughter sacrifices herself, placing herself in front of the blade.	https://www.starwars.com/tv-shows/clone-wars/altar-of-mortis-episode-guide	https://www.disneyplus.com/video/75e60bba-9b85-4531-aec2-7f3b9ed18e4c?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep16_BuyWatchCTA-NA
3	17	Ghosts of Mortis	Secrets of Mortis	He who seeks to control fate shall never find peace.	The Jedi remain stranded on Mortis, and the Son, aligned with the dark side of the Force, renews his efforts to convert Anakin as the Jedi prepare for a decisive confrontation. Anakin is stunned by images of his dark future. The Son promises him the power to avert this destiny.     The Father recognizes that the Son has broken the rules of time. He wipes Anakin's memory of these future visions, and steals the Mortis Dagger to end the conflict. The Father impales himself, thus preventing the Son from stealing his power. The Son, stunned by this, is run through by Anakin. With all three Force-wielders destroyed, the imbalance in the Force disappears on Mortis. The three Jedi are transplanted back to the galaxy proper, apparently at the moment that they disappeared.	https://www.starwars.com/tv-shows/clone-wars/ghosts-of-mortis-episode-guide	https://www.disneyplus.com/play/62001fe8-19a9-41e5-ae2c-40743960f0e5
3	18	The Citadel	Citadel Prison Break	Adaptation is the key to survival.	With help from R2-D2 and a squad of captured battle droids, an elite team of Jedi and clone troopers led by Obi-Wan and Anakin attempt to free a captive Jedi general, Even Piell, from an impenetrable prison. Despite orders to the contrary, Ahsoka Tano tags along, though she proves indispensable when the infiltration mission begins to evolve. Piell and his fleet officer, Captain Tarkin, are liberated from their cells, but now the fugitives must escape the Citadel itself.	https://www.starwars.com/tv-shows/clone-wars/the-citadel-episode-guide	https://www.disneyplus.com/video/5ce7d03a-c7d7-4e63-8cb1-eae92bcd1349?cid=DTCI-Synergy-StarWars-Site-Acquisition-StarWars-US-StarWars-NA-EN-DetailsPage-EpisodeGuide_StarWarsTheCloneWars_S03Ep18_BuyWatchCTA-NA
